PO_ID,Supplier,Item_Category,Unit_Price,avg_price,pct_above_avg
PO-00253,Gamma_Co,Packaging,106.2,53.77668918918919,97.5
PO-00616,Beta_Supplies,Packaging,103.06,53.77668918918919,91.6
PO-00671,Epsilon_Group,Packaging,102.66,53.77668918918919,90.9
PO-00604,Gamma_Co,Packaging,102.56,53.77668918918919,90.7
PO-00090,Alpha_Inc,Packaging,101.6,53.77668918918919,88.9
PO-00091,Epsilon_Group,Packaging,101.23,53.77668918918919,88.2
PO-00127,Delta_Logistics,Packaging,101.21,53.77668918918919,88.2
PO-00381,Epsilon_Group,Packaging,100.97,53.77668918918919,87.8
PO-00563,Beta_Supplies,Packaging,100.92,53.77668918918919,87.7
PO-00065,Delta_Logistics,Packaging,100.13,53.77668918918919,86.2
PO-00067,Alpha_Inc,Electronics,103.84,55.80618421052631,86.1
PO-00004,Beta_Supplies,Packaging,99.85,53.77668918918919,85.7
PO-00666,Gamma_Co,Packaging,99.88,53.77668918918919,85.7
PO-00167,Delta_Logistics,Electronics,103.57,55.80618421052631,85.6
PO-00061,Epsilon_Group,Packaging,99.59,53.77668918918919,85.2
PO-00350,Alpha_Inc,Packaging,99.04,53.77668918918919,84.2
PO-00417,Gamma_Co,Electronics,102.53,55.80618421052631,83.7
PO-00772,Beta_Supplies,Electronics,102.47,55.80618421052631,83.6
PO-00124,Alpha_Inc,Raw Materials,109.17,60.24741007194247,81.2
PO-00590,Beta_Supplies,Packaging,97.43,53.77668918918919,81.2
PO-00680,Delta_Logistics,Raw Materials,108.63,60.24741007194247,80.3
PO-00267,Delta_Logistics,MRO,108.75,60.489146341463396,79.8
PO-00340,Alpha_Inc,Electronics,100.28,55.80618421052631,79.7
PO-00615,Delta_Logistics,Office Supplies,108.6,60.63465517241381,79.1
PO-00763,Epsilon_Group,Electronics,99.78,55.80618421052631,78.8
PO-00435,Delta_Logistics,Raw Materials,107.59,60.24741007194247,78.6
PO-00309,Epsilon_Group,MRO,107.99,60.489146341463396,78.5
PO-00173,Epsilon_Group,Office Supplies,108.02,60.63465517241381,78.1
PO-00696,Beta_Supplies,MRO,107.51,60.489146341463396,77.7
PO-00524,Alpha_Inc,Office Supplies,107.47,60.63465517241381,77.2
PO-00297,Alpha_Inc,Office Supplies,107.02,60.63465517241381,76.5
PO-00540,Epsilon_Group,Electronics,98.4,55.80618421052631,76.3
PO-00709,Epsilon_Group,Packaging,94.75,53.77668918918919,76.2
PO-00398,Beta_Supplies,Electronics,97.86,55.80618421052631,75.4
PO-00080,Gamma_Co,MRO,106.05,60.489146341463396,75.3
PO-00160,Epsilon_Group,Electronics,97.77,55.80618421052631,75.2
PO-00081,Delta_Logistics,Packaging,94.18,53.77668918918919,75.1
PO-00535,Delta_Logistics,Packaging,93.99,53.77668918918919,74.8
PO-00737,Beta_Supplies,Packaging,93.98,53.77668918918919,74.8
PO-00439,Gamma_Co,MRO,105.7,60.489146341463396,74.7
PO-00777,Beta_Supplies,Office Supplies,105.2,60.63465517241381,73.5
PO-00391,Epsilon_Group,Packaging,93.02,53.77668918918919,73.0
PO-00603,Alpha_Inc,Office Supplies,104.82,60.63465517241381,72.9
PO-00545,Gamma_Co,Electronics,96.45,55.80618421052631,72.8
PO-00123,Alpha_Inc,Raw Materials,103.97,60.24741007194247,72.6
PO-00642,Alpha_Inc,Packaging,92.72,53.77668918918919,72.4
PO-00186,Beta_Supplies,Electronics,96.15,55.80618421052631,72.3
PO-00114,Gamma_Co,Raw Materials,103.62,60.24741007194247,72.0
PO-00523,Gamma_Co,Packaging,92.38,53.77668918918919,71.8
PO-00343,Alpha_Inc,Office Supplies,104.04,60.63465517241381,71.6
PO-00388,Gamma_Co,Raw Materials,103.28,60.24741007194247,71.4
PO-00146,Gamma_Co,Electronics,95.57,55.80618421052631,71.3
PO-00169,Beta_Supplies,Raw Materials,103.2,60.24741007194247,71.3
PO-00110,Beta_Supplies,Office Supplies,103.8,60.63465517241381,71.2
PO-00270,Beta_Supplies,MRO,103.57,60.489146341463396,71.2
PO-00539,Delta_Logistics,Electronics,95.55,55.80618421052631,71.2
PO-00646,Gamma_Co,Office Supplies,103.81,60.63465517241381,71.2
PO-00653,Gamma_Co,Raw Materials,103.0,60.24741007194247,71.0
PO-00132,Delta_Logistics,Office Supplies,103.53,60.63465517241381,70.7
PO-00098,Epsilon_Group,Electronics,95.2,55.80618421052631,70.6
PO-00682,Beta_Supplies,Raw Materials,102.43,60.24741007194247,70.0
PO-00115,Beta_Supplies,Electronics,94.8,55.80618421052631,69.9
PO-00206,Epsilon_Group,Electronics,94.83,55.80618421052631,69.9
PO-00644,Delta_Logistics,Raw Materials,102.08,60.24741007194247,69.4
PO-00109,Beta_Supplies,Packaging,90.83,53.77668918918919,68.9
PO-00405,Delta_Logistics,MRO,102.16,60.489146341463396,68.9
PO-00276,Alpha_Inc,MRO,102.07,60.489146341463396,68.7
PO-00312,Alpha_Inc,MRO,102.01,60.489146341463396,68.6
PO-00460,Gamma_Co,Packaging,90.63,53.77668918918919,68.5
PO-00363,Gamma_Co,Packaging,90.49,53.77668918918919,68.3
PO-00619,Beta_Supplies,Electronics,93.75,55.80618421052631,68.0
PO-00752,Beta_Supplies,Electronics,93.6,55.80618421052631,67.7
PO-00056,Epsilon_Group,Raw Materials,100.94,60.24741007194247,67.5
PO-00033,Epsilon_Group,MRO,101.27,60.489146341463396,67.4
PO-00402,Delta_Logistics,MRO,101.1,60.489146341463396,67.1
PO-00428,Alpha_Inc,Raw Materials,100.65,60.24741007194247,67.1
PO-00038,Beta_Supplies,Office Supplies,101.21,60.63465517241381,66.9
PO-00676,Epsilon_Group,Office Supplies,101.2,60.63465517241381,66.9
PO-00749,Gamma_Co,Electronics,92.85,55.80618421052631,66.4
PO-00693,Gamma_Co,MRO,100.62,60.489146341463396,66.3
PO-00412,Gamma_Co,Packaging,89.25,53.77668918918919,66.0
PO-00695,Delta_Logistics,Raw Materials,100.04,60.24741007194247,66.0
PO-00509,Gamma_Co,Office Supplies,100.61,60.63465517241381,65.9
PO-00712,Gamma_Co,Raw Materials,99.89,60.24741007194247,65.8
PO-00100,Beta_Supplies,MRO,100.26,60.489146341463396,65.7
PO-00610,Epsilon_Group,Electronics,92.39,55.80618421052631,65.6
PO-00319,Epsilon_Group,Packaging,88.92,53.77668918918919,65.4
PO-00702,Delta_Logistics,Packaging,88.85,53.77668918918919,65.2
PO-00095,Beta_Supplies,Electronics,91.98,55.80618421052631,64.8
PO-00143,Gamma_Co,Electronics,91.9,55.80618421052631,64.7
PO-00037,Epsilon_Group,Office Supplies,99.54,60.63465517241381,64.2
PO-00128,Epsilon_Group,Electronics,91.66,55.80618421052631,64.2
PO-00758,Epsilon_Group,Packaging,88.29,53.77668918918919,64.2
PO-00070,Alpha_Inc,MRO,98.7,60.489146341463396,63.2
PO-00063,Gamma_Co,Raw Materials,98.26,60.24741007194247,63.1
PO-00104,Delta_Logistics,MRO,98.64,60.489146341463396,63.1
PO-00529,Beta_Supplies,Office Supplies,98.75,60.63465517241381,62.9
PO-00497,Beta_Supplies,MRO,98.47,60.489146341463396,62.8
PO-00308,Alpha_Inc,Electronics,90.69,55.80618421052631,62.5
PO-00122,Beta_Supplies,Electronics,90.65,55.80618421052631,62.4
PO-00645,Epsilon_Group,Electronics,90.49,55.80618421052631,62.2
PO-00019,Gamma_Co,Raw Materials,97.53,60.24741007194247,61.9
PO-00263,Gamma_Co,Raw Materials,97.51,60.24741007194247,61.8
PO-00307,Gamma_Co,MRO,97.87,60.489146341463396,61.8
PO-00166,Gamma_Co,Electronics,90.24,55.80618421052631,61.7
PO-00750,Epsilon_Group,Electronics,90.24,55.80618421052631,61.7
PO-00515,Epsilon_Group,Packaging,86.91,53.77668918918919,61.6
PO-00741,Gamma_Co,Raw Materials,97.3,60.24741007194247,61.5
PO-00512,Alpha_Inc,Raw Materials,96.98,60.24741007194247,61.0
PO-00461,Gamma_Co,Office Supplies,97.53,60.63465517241381,60.8
PO-00045,Delta_Logistics,MRO,97.07,60.489146341463396,60.5
PO-00403,Beta_Supplies,Electronics,89.35,55.80618421052631,60.1
PO-00077,Alpha_Inc,Office Supplies,96.57,60.63465517241381,59.3
PO-00327,Delta_Logistics,Office Supplies,96.51,60.63465517241381,59.2
PO-00747,Beta_Supplies,Packaging,85.52,53.77668918918919,59.0
PO-00121,Beta_Supplies,Raw Materials,95.73,60.24741007194247,58.9
PO-00207,Epsilon_Group,MRO,96.13,60.489146341463396,58.9
PO-00355,Gamma_Co,Packaging,85.42,53.77668918918919,58.8
PO-00713,Alpha_Inc,MRO,96.01,60.489146341463396,58.7
PO-00614,Delta_Logistics,Raw Materials,95.53,60.24741007194247,58.6
PO-00588,Gamma_Co,MRO,95.8,60.489146341463396,58.4
PO-00675,Beta_Supplies,Raw Materials,95.36,60.24741007194247,58.3
PO-00732,Delta_Logistics,Packaging,85.06,53.77668918918919,58.2
PO-00334,Alpha_Inc,Packaging,85.01,53.77668918918919,58.1
PO-00498,Delta_Logistics,Electronics,88.17,55.80618421052631,58.0
PO-00003,Gamma_Co,MRO,95.51,60.489146341463396,57.9
PO-00594,Delta_Logistics,Office Supplies,95.65,60.63465517241381,57.7
PO-00607,Beta_Supplies,Office Supplies,95.6,60.63465517241381,57.7
PO-00599,Alpha_Inc,Office Supplies,95.5,60.63465517241381,57.5
PO-00775,Gamma_Co,Raw Materials,94.82,60.24741007194247,57.4
PO-00359,Epsilon_Group,Raw Materials,94.69,60.24741007194247,57.2
PO-00399,Gamma_Co,MRO,94.7,60.489146341463396,56.6
PO-00311,Beta_Supplies,Packaging,84.11,53.77668918918919,56.4
PO-00489,Delta_Logistics,Office Supplies,94.75,60.63465517241381,56.3
PO-00347,Epsilon_Group,Electronics,87.16,55.80618421052631,56.2
PO-00633,Alpha_Inc,Electronics,86.85,55.80618421052631,55.6
PO-00013,Beta_Supplies,Electronics,86.74,55.80618421052631,55.4
PO-00337,Delta_Logistics,Office Supplies,94.15,60.63465517241381,55.3
PO-00672,Delta_Logistics,Electronics,86.43,55.80618421052631,54.9
PO-00694,Alpha_Inc,MRO,93.57,60.489146341463396,54.7
PO-00361,Alpha_Inc,Raw Materials,93.14,60.24741007194247,54.6
PO-00059,Epsilon_Group,MRO,93.46,60.489146341463396,54.5
PO-00099,Beta_Supplies,Office Supplies,93.69,60.63465517241381,54.5
PO-00105,Epsilon_Group,Office Supplies,93.66,60.63465517241381,54.5
PO-00377,Gamma_Co,Office Supplies,93.6,60.63465517241381,54.4
PO-00757,Alpha_Inc,MRO,93.23,60.489146341463396,54.1
PO-00271,Beta_Supplies,Raw Materials,92.73,60.24741007194247,53.9
PO-00366,Epsilon_Group,Packaging,82.57,53.77668918918919,53.5
PO-00369,Alpha_Inc,Packaging,82.5,53.77668918918919,53.4
PO-00387,Alpha_Inc,Office Supplies,92.92,60.63465517241381,53.2
PO-00581,Gamma_Co,MRO,92.51,60.489146341463396,52.9
PO-00203,Alpha_Inc,Electronics,85.22,55.80618421052631,52.7
PO-00240,Gamma_Co,Packaging,81.84,53.77668918918919,52.2
PO-00358,Gamma_Co,Packaging,81.77,53.77668918918919,52.1
PO-00116,Alpha_Inc,MRO,91.86,60.489146341463396,51.9
PO-00484,Delta_Logistics,Electronics,84.72,55.80618421052631,51.8
PO-00640,Beta_Supplies,MRO,91.84,60.489146341463396,51.8
PO-00636,Epsilon_Group,Office Supplies,91.98,60.63465517241381,51.7
PO-00514,Beta_Supplies,Office Supplies,91.87,60.63465517241381,51.5
PO-00715,Beta_Supplies,MRO,91.56,60.489146341463396,51.4
PO-00728,Epsilon_Group,Office Supplies,91.81,60.63465517241381,51.4
PO-00652,Alpha_Inc,Office Supplies,91.73,60.63465517241381,51.3
PO-00223,Epsilon_Group,MRO,91.47,60.489146341463396,51.2
PO-00406,Alpha_Inc,MRO,91.38,60.489146341463396,51.1
PO-00445,Delta_Logistics,MRO,91.28,60.489146341463396,50.9
PO-00237,Delta_Logistics,MRO,91.05,60.489146341463396,50.5
PO-00576,Beta_Supplies,Electronics,83.85,55.80618421052631,50.3
PO-00700,Epsilon_Group,Packaging,80.63,53.77668918918919,49.9
PO-00163,Gamma_Co,Packaging,80.53,53.77668918918919,49.7
PO-00595,Alpha_Inc,Electronics,83.49,55.80618421052631,49.6
PO-00483,Alpha_Inc,Raw Materials,90.06,60.24741007194247,49.5
PO-00029,Delta_Logistics,MRO,90.26,60.489146341463396,49.2
PO-00302,Alpha_Inc,Electronics,83.13,55.80618421052631,49.0
PO-00582,Delta_Logistics,Office Supplies,90.14,60.63465517241381,48.7
PO-00443,Epsilon_Group,Electronics,82.92,55.80618421052631,48.6
PO-00510,Delta_Logistics,Electronics,82.66,55.80618421052631,48.1
PO-00012,Beta_Supplies,Raw Materials,88.96,60.24741007194247,47.7
PO-00714,Gamma_Co,MRO,88.47,60.489146341463396,46.3
PO-00299,Epsilon_Group,MRO,88.28,60.489146341463396,45.9
PO-00476,Epsilon_Group,Office Supplies,88.14,60.63465517241381,45.4
PO-00690,Delta_Logistics,Office Supplies,88.18,60.63465517241381,45.4
PO-00351,Beta_Supplies,MRO,87.86,60.489146341463396,45.2
PO-00618,Beta_Supplies,Office Supplies,88.02,60.63465517241381,45.2
PO-00036,Epsilon_Group,Office Supplies,87.73,60.63465517241381,44.7
PO-00141,Beta_Supplies,MRO,87.46,60.489146341463396,44.6
PO-00740,Delta_Logistics,MRO,87.42,60.489146341463396,44.5
PO-00317,Beta_Supplies,Raw Materials,86.62,60.24741007194247,43.8
PO-00126,Alpha_Inc,Office Supplies,86.73,60.63465517241381,43.0
PO-00211,Gamma_Co,Office Supplies,86.62,60.63465517241381,42.9
PO-00573,Delta_Logistics,MRO,86.13,60.489146341463396,42.4
PO-00621,Delta_Logistics,Office Supplies,86.29,60.63465517241381,42.3
PO-00743,Alpha_Inc,Raw Materials,85.76,60.24741007194247,42.3
PO-00770,Epsilon_Group,Office Supplies,85.95,60.63465517241381,41.8
PO-00390,Epsilon_Group,Electronics,78.88,55.80618421052631,41.3
PO-00210,Beta_Supplies,MRO,85.03,60.489146341463396,40.6
PO-00272,Epsilon_Group,MRO,84.79,60.489146341463396,40.2
PO-00669,Gamma_Co,Packaging,75.08,53.77668918918919,39.6
PO-00738,Gamma_Co,Office Supplies,84.63,60.63465517241381,39.6
PO-00648,Delta_Logistics,Office Supplies,84.58,60.63465517241381,39.5
PO-00329,Beta_Supplies,Raw Materials,83.91,60.24741007194247,39.3
PO-00250,Epsilon_Group,Packaging,74.61,53.77668918918919,38.7
PO-00323,Delta_Logistics,MRO,83.73,60.489146341463396,38.4
PO-00245,Beta_Supplies,Raw Materials,83.26,60.24741007194247,38.2
PO-00452,Beta_Supplies,Raw Materials,82.99,60.24741007194247,37.7
PO-00654,Gamma_Co,Office Supplies,83.5,60.63465517241381,37.7
PO-00596,Delta_Logistics,Office Supplies,83.42,60.63465517241381,37.6
PO-00564,Epsilon_Group,MRO,83.14,60.489146341463396,37.4
PO-00468,Delta_Logistics,Raw Materials,82.63,60.24741007194247,37.2
PO-00716,Epsilon_Group,Packaging,73.8,53.77668918918919,37.2
PO-00219,Epsilon_Group,Office Supplies,83.07,60.63465517241381,37.0
PO-00606,Beta_Supplies,Electronics,76.44,55.80618421052631,37.0
PO-00745,Alpha_Inc,Packaging,73.35,53.77668918918919,36.4
PO-00372,Epsilon_Group,Packaging,73.18,53.77668918918919,36.1
PO-00699,Epsilon_Group,Office Supplies,82.54,60.63465517241381,36.1
PO-00183,Delta_Logistics,Packaging,73.09,53.77668918918919,35.9
PO-00370,Gamma_Co,Raw Materials,81.54,60.24741007194247,35.3
PO-00726,Alpha_Inc,Electronics,75.43,55.80618421052631,35.2
PO-00392,Delta_Logistics,Office Supplies,81.75,60.63465517241381,34.8
PO-00280,Alpha_Inc,Office Supplies,81.63,60.63465517241381,34.6
PO-00558,Delta_Logistics,MRO,81.44,60.489146341463396,34.6
PO-00239,Beta_Supplies,Electronics,75.03,55.80618421052631,34.4
PO-00551,Gamma_Co,MRO,81.01,60.489146341463396,33.9
PO-00042,Beta_Supplies,Office Supplies,81.14,60.63465517241381,33.8
PO-00023,Epsilon_Group,MRO,80.89,60.489146341463396,33.7
PO-00543,Epsilon_Group,Electronics,74.39,55.80618421052631,33.3
PO-00030,Epsilon_Group,MRO,80.55,60.489146341463396,33.2
PO-00039,Epsilon_Group,Office Supplies,80.53,60.63465517241381,32.8
PO-00768,Epsilon_Group,Office Supplies,80.19,60.63465517241381,32.3
PO-00315,Beta_Supplies,Office Supplies,80.15,60.63465517241381,32.2
PO-00734,Beta_Supplies,Packaging,71.02,53.77668918918919,32.1
PO-00096,Epsilon_Group,MRO,79.86,60.489146341463396,32.0
PO-00433,Epsilon_Group,Packaging,70.76,53.77668918918919,31.6
PO-00722,Epsilon_Group,MRO,79.61,60.489146341463396,31.6
PO-00083,Beta_Supplies,Electronics,73.38,55.80618421052631,31.5
PO-00755,Beta_Supplies,Office Supplies,79.61,60.63465517241381,31.3
PO-00627,Delta_Logistics,Office Supplies,79.21,60.63465517241381,30.6
PO-00011,Epsilon_Group,Raw Materials,78.49,60.24741007194247,30.3
PO-00629,Alpha_Inc,Office Supplies,78.99,60.63465517241381,30.3
