month,monthly_spend,po_count
2022-01,1536378.9300000002,31
2022-02,1377514.6600000001,27
2022-03,2592704.3100000005,41
2022-04,1928650.9099999997,35
2022-05,1181945.98,25
2022-06,1556825.0200000003,34
2022-07,1293596.11,27
2022-08,2329232.23,43
2022-09,2175996.8899999997,43
2022-10,1782151.4299999997,31
2022-11,1535245.54,29
2022-12,2171086.6500000004,30
2023-01,2276857.9900000007,30
2023-02,1773987.8099999994,28
2023-03,2744443.6599999997,39
2023-04,1709713.8000000003,33
2023-05,1511826.1999999997,20
2023-06,1396136.4000000001,26
2023-07,2365673.85,44
2023-08,2010221.3300000003,31
2023-09,2230645.28,29
2023-10,1869843.1999999997,29
2023-11,2583675.2899999996,44
2023-12,1270011.5699999998,26
2024-01,169331.34999999998,2
